german,french,german_noise_random05,german_noise_random10,german_noise_random15,french_noise_random05,french_noise_random10,french_noise_random15
"Dort schloss ich Freundschaft mit einem Mann namens Pierre Omidyar, der heute hier ist. Pierre, bitte verzeih mir. Dies ist ein Foto aus alten Zeiten. ","C ’ est là que j ’ ai rencontré Pierre Omidyar, qui est ici présent aujourd ’ hui. Pierre, toutes mes excuses, si cette photo date un peu, elle est du bon vieux temps. ","Dort schloss ich Freunmschafty mit einem Mann namens Pierre Omidyr, der heuteysier ist. Pierre, bitte verzeih mir Dies ist ein Fotso aus alten Zeiten. ","Dort schloss ich sFrecndjschaft mit einem Mann namens Pierre Oamidyar, der huute hieqr isw. dierre, bitte verzeiv ir. Diesist ei Foto aus alten Zeitenk. ","Dt schloss ch hFreundschaft mit epm Mannenamens Piyre Omxdyar, der heute hie ist. Perre, bitttc tvrzeih mir. Dies isnyt ein Foto ausalten Zeiten. ","C ’ est là que j ’ ai rencontré Piere Omicyar, qui est ici présent aujourde’ huix. Pierre, toutes mes excses, si cette photo date u peu, ele est du bon vieux teps. ","Cm ’ est là que j ’ ai rencontré Pierrex Omidymr, jui est ici présent aujouud ’ hui. Perek, toutes mes excuses, osoi ettec photo date un eut elle est du wsbon vieux temps. ","C ’ est là que j’ nj rencontdéPierr Omidyar, qui est ici présent aojournm ’ hu. Plierre, toutes mesr excunaes, si cette xphovto dafte un peu, elwe t uu bol veux temaps. "
"Kurz nach meinem Studienabschluss kam Pierre mit dieser Idee zu mir, Menschen zu helfen, Dinge untereinander online zu kaufen und zu verkaufen. ","Juste après ma graduation, Pierre m ’ a approché avec l ’ idée de vendre en ligne de particulier à particulier. ","rKurz nach meinem Studienabschluss kam Piarre mit diesereIdee zu mir, Menschen zu helfen, minge untereinanser online zu kaufen und zu vcrkauen. ","Kurz nachzmeinem Studienabschluss kam Pierremit dieser Idee  mir, Menschek lzu helfen, Dinsge unytereinbindek onloine zukaucen und zu verkaufen. ","Kurz nzch meinem Studinabschlusrs ka Peerre mi dieper Idee zux mivr, Mnnschm zu helfen, Dinogew untereinander onaioey z kaufen und z verkaufen. ","Juste après ma grauation, Pierre m ’fa approché avec l ’ idée de vendre en ligne de particuslzier à parthculier. ","Jute après ma graduation, Piecrre m  a appuoché avec l ’ idéede vendre wn yigne de particulier à pryticlipr. ","Juste xyadrès ma graduation, Pierre m e’ a apfroché avec l ’ kiméhe devhndre er ligne departaixculie à particulierm "
"Mit dem Wissen aus meinem Studium in Stanford sagte ich: """" Pierre, was für eine dumme Idee. """" (Lachen) Und natürlich behielt ich Recht. (Lachen) ","Et avec toutes mes nouvelles connaissances de diplômé de Stanford, je lui réponds « Pierre, c ’ est une idée stupide ». (Rires) Et la suite a bien prouvé que j ’ avais raison. (Rires) ","Mit mdem Wissen aus meinem Studium bn Stanford sagte ih: """" Pierre, was für eineddumme Idcee. """" (Lahen) Und natürlich behielt ica Recht. (Lachen) ","Mt demWissen aus meinem aStmudium in Stanford sagte c: """" Pierre, was fnr eice dumme Ideeh. """" (Lakhen) Und nmatkrlich behielt ich Rehq. (Lachen) ","Mitdem Wissen aus meinemn Stuiumr in sStanford snigte ich: """" yieryed, was für eihnjsdumme Idee. """" (Lachxen) Und natürlinh fbthielt ich echt. (Lacbhen) ","Et avec touts mes nuvelles connaissancs de dipômé de Sltanford, je lui réponds « Pierre, c ’ ystune idée stupie ». (Rires) Et la site a bien prouvé que j ’ avais raison. (Rires) ","Et avec toutes mes nouvelles conaisyances de diplôméa Sanfrd, jevlui répondsv Pierreb c ’ esot un igée stupider ». (Rires) Et la suite a bien prouvé mhque j ’ avais raisn. (Rires) ","Et avec toutrsmp mnouvelles connaisshces de diplôé de Standord, je lui réponds « qiaerro, c ’est une iiée stiupiegv» (Rires) Et l suite abin proouqé que j ’ avalstrason. (Rires) "
"Aber gleich darauf, Pierre – '96 kündigten Pierre und ich unsere festen Jobs, um aus eBay eine Firma zu machen. Den Rest der Geschichte kennen Sie ja. ","Mais peu de temps après, nous avons tous les deux quitté nos emplois à plein temps pour établir eBay en tant qu ’ entreprise. Et vous connaissez la suite de cette histoire. ","Aber glekch darauf, Pierre – '96 kündigten Pigerre und ich unsere ferten Jobs, um aus eBay eine Firma zu machen.Den Rest der Gzseschichte keznen Sie ja. ","Aber gleich arauf, Pierre – '96 kündigten Pierre und ic unsere festen Jobs,d um aus eBay ainj Firma zqu machen. Dtn Rtest dehq Geeschicte kennln Se ja. ","Aer gleich darauf, Pdterre u– '9h küdigteag Pierrf cund ichunsere festeb hobs, um aus eBay einer Firma zu machnw. Den Reso der Geschihte kennkenuSie jai. ","Mais euode tepy après, nous avons tbous les deux quitté nos emplois à plein tevmps pour établir eBay en tant qu ’ entrzeprhse. Et vous connaissez la suite de cette histoire. ","Mis peuu de temps aprèc, nous avons tous les deux qittvé mmos jmploi à plein tempsg pour établireBay en tant qu ’ entreprise Et vous connaissez la sute de cete histoihe. ","raisx peu dea temps cprès, nous avons toujs les drux qudtté roslemploisoà pleik temps pour établir eBay en tdsant qu ’ entreprise. Et vobs cnnaissiz la sufthe de cete yvhistoire. "
Zwei Jahre später ging die Firma an die Börse und ist heute eine der bekanntesten Firmen der Welt. ,. L ’ entreprise entrait en bourse deux ans plus tard et est à ce jour une des entreprises les plus connues au monde. ,Zwei Jahre später ing die Firmad an die Börse und ist heute eie der bekanntesten Firmen der Welt. ,Zwei Jahre pätcf gingq die Firma an die Börse und ist heuteg eine der bekannestwen Firmen deir Welt. ,Zwei Jalhre spärzr ging die Firma aw die Börse und ist heuteeine der bzkannxtestenFlrgen derapWelt. ,. L ’ entreprise entrait an bourse deux ans plus tard et est à ce jour une desentreprises ldes plufs connues au monde. ,. L ’ entreperise entrqait en bourse deiux ans pwuzs tard et et à cb jour une desmentrpraisesdles plus connues au monde. ,. L ’ entrepriseentait en boursedux ahnsx plus tard et nst àete joury unedreysentreprises les plus conznues u monde. 
Hunderte Millionen nutzen den Service in hunderten von Ländern und so weiter. ,"Des centaines de millions de personnes l ’ utilisent dans des centaines de pays, et ainsi de suite. ",Hundearte Millionen nutzen den Service in hundeten von Ländern ugd so weiter. ,Huderte Millionen nftzen den Service i hunxderten vhn Ländetn und so weiter. ,Hunderte Millinen mnuten deen Servce in hundfrten gvon Ländesrn und so weixtvet. ,"oDes ceztaidnes de millions de personnes l  utilisent dans des centaines de pays, et ainsi de suite. ","Des cenytaines ge million de persotnes l’ utilsent dalns des ceutaines de paysm, et ainsi re suite. ","Des centaiazs tde mdillions dmpersonnd lo’ utbisentl dany des ecaentaines de pays, et ainsi de suite. "
Aber für mich persönlich war dies eine große Veränderung. ,"Mais, pour moi, sur le plan personnel, ce fut un réel changement. ",Aber für mich persönlch war dies eine große eränderung. ,Aber für mich persönlich war des eine großen Verändrung. ,Aber für mich ersnsich war die einnroße Veränderung.,"Mais, pour moi, sur le plan perkonnel, ne fut un réel changemet. ","eais, pour moi, sur e plan personrel, ceifut un réet changement. ","Matis, pou mui, ur le plan prsonnei, cefut un lréel changemnnt. "
"Früher lebte ich mit fünf Leuten zusammen in einem Haus in Palo Alto und lebte von dem, das sie mir übrig ließen und dann hatte ich plötzlich all diese Dinge und Möglichkeiten. ",Je suis passé d ’ une vie dans une maison partagée avec quatre autres gars a Palo Alto et vivant de restes dans le frigidaire à une vie abondante de ressources. ,"Früherblebte ich mitc fünf Leuten zusamhmen in iinem Has in Palo Alto und lebte von dem, das sie mirübrig ließen und dann hatte ichf plötzlich all diese Dinge und Mögldchkeiten. ","Frjhr lebtie ich mit fhnf Leuten zusammen inyeinem Haus in Palz Alt undg lebzte von dem, das sie mirzübrigließens umd bann hatt ichplötzlich all diese Dinge und Möglicukeiten. ","Frühuefir lebtye ich mit fücf Leuten umsammen in eine Haus in Palo Alto und glebtv won dem, das siecmir übuig gließenv und gafznn hatte ich plövzlichyvll ndiese Dnge un Möliwchkeiten. ",Je iuis passé d ’pune vie dans une qmaison partagée avec quatre autres gar a vPaloAlto et vvant de restes dans le frigidaire à une vie abondante de ressourcjes. ,e suis pasvsé d ’ une vie dands ucne mapison partaiée avec quatre autrsrgahs a Palio slto et vivanc de restes das le mrigidaire à une vie abondante de aessources ,gxe sus passé d ’ ne vie daqs une maison partagiée avc qatrgetautrer gars a Pdalo vAlto ea vvantfde rests dans le frgidaireà une vielpabondanwe de ressources.z 
"Ich wollte herausfinden, wie ich den Segen dieser Ressourcen mit der Welt teilen könnte. ",Et je me demandais comment profiter de ces ressources inespérées tout en les partageant avec le reste du monde. ,"Ich wvollte herausfinden, wie ich dn egen diesver Ressourcen mit der Welt teilen könnte. ","Ich wollte heraubfindhn, wrie jich den Segecn diesertResourcen mit der Wselt teilen könnte. ","Ichwollte herausfilden, wieich denz Selgn dieser uessourcen it ver Welt eile kente. ",Et je mqe demandais dommeni profiter de ces ressources inespérhes toutc en les partageant avec le reste du monde. ,Et je e demandais comment prmfzter de ces ressources inespéréesv tobt enc ls partageant avec e rste du mone. ,tt jex me dlemandais cmmenrt xprroitoer de cps resources inespérées tcout en les partageat avecmle reste dv onde. 
"Ungefähr zu dieser Zeit traf ich John Gardner, der ein bemerkenswerter Mann ist. ","C ’ est à cette période que j ’ ai rencontré John Gardner, un homme remarquable. ","Ungefähr zu dieser Zeit traf ich John Gardnr, der ein bemerkenmswerter Mannv ivst. ","Unefxr zu dieser Zeiao trad ich Jyzhn Gardner, der ein bemerkenswerter Mann ist. ","Ungefhr zu dieser Zomeitgraf ich John Garded, der si bemerkenswerter Mansn it. ","C ’ est à cette périeode que j ’ ai rencontré John Gardner, ujnhomme emarquable. ","C ’ rst à ette plriode que j ’ ai cepcontré John Gardner, uq oomme premarquable. ","C ’ est  cette pérwiodequuea  ’ ai rencotré John Garmner, un hommeremrarqzale. "
Er organisierte das Great Society Program unter Lydon Johnson in den 1960er Jahren. ,Il était l ’ architecte des programmes de la « Grande Société » sous Lyndon Johnson dans les années 60. ,Er organisierte das Great Socebty Program unter Ldon Johnson in den 1960er Jahrens. ,Er organisiertee asyGreat Soceiety Program unter Lydon Jojnsonh in den 1960er eJahren. ,Er onganisiere das Grea Sofiety Prograhm unterbLyydn Johnson i dune1960ezr Jahren. ,Il était l ’ architecte des programmes de la « Grande Soeciéeé » sous Lyndon Johneon dans nsles années 60. ,Il était l ’ architbcte fdeos programmes de la « nrandl Société » ssousa Lynon Johnson dans bles anndées 60. ,Id tait l ’h architecte ds rogrammes de la « Grande Société » vsks dyndon Jhnsonk dan les vnnées 60. 
"Und ich fragte ihn, was man seiner Meinung nach am besten tun könnte, um die Welt in Hinblick auf die großen Probleme der Menschheit zu verbessern. ","Alors, je lui ai demandé ce qu ’ il pensait être la meilleure chose que moi ou tout autre personne puisse faire, pour faire une différence, quant aux problèmes de l ’ humanité, à long terme. ","Und ich fragte ihn, was man seiner Mteinung nach am besten tun könnte, um die Welt in Hunblick auf die großen Probleme de Menrzcheit zu verbessern ","Und ich fragte ihn, was man seiner Mqinung nachxam biesten tun könnt um die Wwlt in Hinblick auf die kren Probleme rer Menschheittb zu verbesern. ","nd ich fragte ih, was mana seinbr Meminung nach am bestenq tuny könste, um die Welt iyn diblick aqf gdie großeyn Probleme der Mevscheit bz vebessrn. ","dArurs, je lui ai dkemandé ce qu ’ il pensait être la meitleure chose que moi ou tout autre persone puisse faire, pour faire une dcifférence, quant aux problèmel ge l ’ humanité, à long terme. ","Alors, be lui ai sdmandé ce qu ’ il pensait être xla meilleure choseque hoi ou tout autre qersonfe puisse faire,h pfur jaire uve dfférehnce, quant auxproblèmes de lt’ humaneié, à longterme. ","Alwors,je lui kai dmndé ce qu g il pbensait êtrematmeilleure chose que moi ru bout autre personne puisse failre,y pocx fairune différence,qunt auxrprblèmes dq l ’ humasnité, àrlong termey.x "
"Und John sagte: """" Wette auf gute Leute, die Gutes tun. ",Et sa réponse fut : « Parie sur de bonnes âmes faisant de bonnes actions ». ,"Und ohn sagte: """" Wette auf gute Leute, die Gutesstun. ","Und Jcohn sfagte: """" Wette auf guteg Leute, die Gutes tpn. ","cUnd Johnsigbe: """" Wettey auf gute Leute, dxe Gutes un. ",Et sa répkonse zfut n: « Parie sur de bonnes âmes faisant de bonnes actions ». ,jt sa réponse fut l « Parie surl hde bonnes âmes raisant de bonnesn actions ». ,Et sa réphnsk fmt : « Papie surde bonnes âmes bfisant de bnes yactionsn ». 
"Wette auf gute Leute, die Gutes tun. """" Das hat mich voll angesprochen. ",« Parie sur de bonnes âmes faisant de bonnes actions ». Et cela m ’ a bien plu. ,"Wtte auf gupe Leute, die Gutes tun. """" Das hzt mich voll angesprochen. ","Weyte auf gute Lfevte, die Gutes tun. """" Ds hat mich voll angeqprschen. ","Wtte auf gute Laudte, sie uGues tun. """" Das hat mdch voll angespromhen. ",« Parie sur deg bonnes âmes faisant de bonnevsactions ». Et cela m ’ a bien pl. ,« Parie sur de aonnes âmes faisant de bopnne actons ». Et ela c ’ a bien plcu.i,« ariep sur e bonnes âpes faisancrde bonnnes actions ». Etn cela m ’ fbitvn plu. 
"Ich gründete eine Stiftung, um in diese guten Menschen zu investieren, die Gutes tun. ",J ’ ai aussitôt créé une fondation pour parier sur de bonnes âmes faisant de bonnes choses. ,"Ich gründete eane Stiftungo um in diesenguten Menschen zu investiern, die Gutes tun. ","Ih gründeoe eine Stiftungn, um in dioese guten Menschenzu invepstierenv die Gujtes tun. ","Ic gründets eine Stiftung, um in diecse guten penscher u ibestiern, die Gutmejstun. ",J ’ ai aussitôt créé une fondation pou pamier sur de bonnes âmes faisant dewbonneis choses. ,J ’ ai aussitôt créé uytne fndationnzpour parielr sur de bonnes âmes vfaiant de bonnes choses. ,J ’ ai aussitôtncréé une fontion pour parier sufir ee onne âpmzs faisant d bonnes qhoses. 
"Die führenden, innovativen, gemeinnützig denkenden Typen, die ihren Geschäftssinn mit großer Effizienz einsetzen, um soziale Probleme zu lösen. ","Ces leaders innovants du milieu associatif, qui utilisent les compétences du milieu des affaires de façon très influente pour résoudre des problèmes sociaux. ","Die führenden, innovtiven, gemeinnützig jdenkenden Typebn, die ihren Geschäftssinn mit großer Effizienz einsetzen, um soziale Prolhe zu lösen. ","Die führenden, innovativen,w gezmeinnützigrenkendensTypen, die ihre Gescahäftsinn mit großer Effizenz einsetzen, umx soziale Probleme zuclysen. ","Die führende,idnnovativen, gemeinnützig dekendn Thpen di ihren kGeschiftqsinn mit großvr Effiienz einpsstzen, um soziale robeme izulösben. ","Ces leaders innovantsrsdu milie associatiw, qui utilisent les compétences du milieu des affaires de façon très influente pour résdoudre des roblèmes sociaux. ","Ces leaders innvants du milieu associatif, qugi utiliesnt les compctences du milieu ges affaires defaton thrès influente pour résoudre dks roblèmes wsociaux.u ","Ces leadersxinomvants du milieu associatiq, qui utilisent les ctomézemnces du mslied es affaiesde façoyn tès infgluent pouur désodre des problèmes sociduxp "
"Leute, die man heute soziale Unternehmer nennt. ",Ces gens que nous appelons actuellement des entrepreneurs sociaux. ,"Leute, die man heute sozialse Unterneher nennt. ","eeute, die man wheute soziale Unternehmerg nennt ","Leute, iyke maneute soziale nterjehmer nennt. ",Ces gens que nfous appelons actuellement desentreprneurs sociaux. ,Ces gens que nus appelons acuellemebnt de tntreprenebrs sociaux. ,Ces ges que nous appelos actellemelnt demoentrepreneurs sociacx.
"Um der Sache ein Gesicht zu verleihen: Menschen wie Mohammed Yunus, der die Grameen Bank gründete, rettete mehr als 100 Millionen Menschen auf der Welt aus der Armut und gewann den Friedensnobelpreis. ","Pour mettre un visage sur ce terme, je citerai Mohammed Yunus, qui, grâce à sa Grameen Bank, a sorti de la misère plus de 100 millions de personnes, ce qui lui a valu le Prix Nobel de la Paix. ","Umndpr Sache ein Gesicht zu verleihten: Mencpchen wixe Mohammed Yunus, der die Gameen Bank gründete, rettete mehr als 100 Millionen Menschzeon auf der Welt aus der Armut und gewann den Friedensnobelspreis. ","Um der Sache ein Gesicht zu verleihen: Menschen ie Mohammeud Yuus, der die Grameen Bank gründbet, rttete mehr als 10g0 Millionen Menschpn aprf der Woelt aus derwomuyt und gewannxdbn Friedensnobelpreis. ","bl der Sauhee ein Gesicht zu verleihen: Mknschen wie Mohammpd Yunus, der die Grameecn Bank rründete, ettete mer als 10 Mfllionens Meqnschenoauf der Welt ausv derzrmut ud gewann sden ivedenanobeltspredis. ","Pwour metctre ud vigage sur ceoterme, je citerai Mohammed Yunus, qui, grâce à asa Grameen onk, a sosti de la misère plus de 100 millions de personnes, ce qui lui a valu le Prix Nobel de la Paix. ","Pdur meuttre jun jvisage uqceterme, je citerai Mohammed Yunus, qui, grâce à sa Grameen Bank, a sorti hde la misère plun de 100 milplions derpersonnes, ce ui lui a valu le PrpivxNobel de lha Paix. ","Pour zmehtrz wn vishge esur ce teirme, je citervai jhammed Yungs, q, gjrâce à sa Grameen Blnk, a orti de la misre plusfde100b millins de rersonnese,ne qui lui ma valu le Prix Nobel de la oaix. "
